,0
price_bucket,0.025444964
product_category_name_audio,0.01868884
customer_state_AM,0.017148402
product_category_name_home_appliances,0.01678146
product_category_name_garden_tools,0.015543202
product_category_name_watches_gifts,0.01535649
product_category_name_office_furniture,0.015163311
total_cost,0.015096677
shipping_ratio,0.014697106
product_category_name_health_beauty,0.014686951
shipping_charges,0.0144816665
price,0.014417294
log_shipping_ratio,0.014411385
is_large_product,0.013831585
product_category_name_electronics,0.013566476
product_category_name_computers_accessories,0.013438941
product_category_name_construction_tools_construction,0.01310218
product_category_name_housewares,0.012976207
customer_state_MT,0.012504173
product_volume_cm3,0.012446357
customer_state_TO,0.012377034
product_category_name_furniture_decor,0.012336442
product_weight_g,0.012269752
customer_state_SP,0.012049182
product_length_cm,0.011812104
customer_state_SC,0.011789793
product_width_cm,0.011482148
product_density,0.011450776
product_category_name_unknown,0.011389929
product_height_cm,0.011261905
customer_state_PE,0.011252785
customer_state_MA,0.011182516
product_category_name_cool_stuff,0.011077681
product_category_name_fashion_bags_accessories,0.011048389
customer_state_RN,0.011001091
order_month,0.010769003
product_category_name_home_construction,0.010683508
payment_sequential,0.0106617985
payment_type_debit_card,0.010564565
product_category_name_baby,0.01043058
high_shipping,0.010406665
top_category,0.010287335
product_category_name_perfumery,0.010246104
customer_state_BA,0.010244112
customer_state_PA,0.010227862
customer_state_DF,0.010183983
product_category_name_signaling_and_security,0.010137392
customer_state_PB,0.010136137
product_category_name_small_appliances,0.010121791
product_category_name_bed_bath_table,0.010031134
